,0
233,N-acetyl-alpha-D-glucosamine 1-phosphate
234,chitodextrin
235,chitin
236,N-acetyl-D-glucosaminate
237,"n N,N'-diacetylchitobiose"
238,[(1->4)-beta-N-acetyl-D-glucosaminyl]n-(1->4)-N-acetyl-2-deoxy-2-amino-D-gluconate
239,"n+1 N,N'-diacetylchitobiose"
240,"[(1->4)-beta-N-acetyl-D-glucosaminyl]n-(1->4)-2-(acetylamino)-2-deoxy-D-glucono-1,5-lactone"
241,beta-D-glucosaminyl-(1->4)-N-acetyl-D-glucosamine
242,acetyl-CoA
243,pyruvate
244,glyoxylate
245,chitosan
246,delphinidin 3-O-sophoroside
247,delphinidin-3-O-beta-D-glucoside
248,"n 4-deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl--D-galactosamine 6-sulfate"
249,chondroitin sulfate C
250,"n 4-deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate"
251,chondroitin sulfate A
252,"4-deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine"
253,N-acetyl-D-galactosamine
254,"4-deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl--D-galactosamine 6-sulfate"
255,N-acetyl-D-galactosamine 6-O-sulfate
256,chondroitin sulfate C(n)
257,chondroitin sulfate C(n-1)
258,chondroitin sulfate A(n-1)
259,"4-deoxy-beta-D-gluc-4-enuronosyl-(1,3)-N-acetyl-D-galactosamine 4-sulfate"
260,chondroitin sulfate A(n)
261,sulfate
262,heparin
263,"n 4-deoxy-2-O-sulfo-beta-L-erythro-hex-4-enopyranuronosyl-(1,4)-D-N-sulfoglucosamine 6-O-sulfate"
264,"4-deoxy-beta-L-erythro-hex-4-enopyranuronosyl-(1,4)-D-N-sulfoglucosamine 6-O-sulfate"
265,"4-deoxy-2-O-sulfo-beta-L-erythro-hex-4-enopyranuronosyl-(1,4)-D-N-sulfoglucosamine 6-O-sulfate"
266,"N,6-O-disulfo-D-glucosamine"
267,N-sulfo-D-glucosamine
268,"4-deoxy-beta-L-erythro-hex-4-enopyranuronosyl-(1,4)-D-N-sulfoglucosamine"
269,heparan sulfate
270,"n 4-deoxy-beta-L-erythro-hex-4-enopyranuronosyl-(1,4)-D-N-sulfoglucosamine"
271,dermatan sulfate containing 4-O-sulfo-N-acetyl-D-galactosamine and L-iduronate 2-O-sulfate
272,N-acetyl-beta-D-galactosamine
273,alpha-L-idopyranuronate
274,dermatan sulfate(n-1)
275,dermatan sulfate(n)
276,D-glucopyranuronate
277,chondroitin
278,(S)-ureidoglycolate
279,urea
280,N 3-(4-deoxy-beta-D-gluc-4-enuronosyl)-N-acetyl-D-glucosamine
281,hyaluronan
282,3-(4-deoxy-beta-D-gluc-4-enuronosyl)-N-acetyl-D-glucosamine
283,glucan
284,maltotriose
285,linear malto-oligosaccharide [(glucose)n]
286,maltose
287,linear malto-oligosaccharide [(glucose)n-2]
288,amylopectin
289,linear malto-oligosaccharide
290,"exposed unphosphorylated, (alpha-1,6)-branched malto-oligosaccharide tail on amylopectin"
291,"exposed unphosphorylated, unbranched malto-oligosaccharide tail on amylopectin"
292,n phosphate
293,6-phosphogluco-3-phosphogluco-amylopectin
294,6-phosphogluco-amylopectin
295,n AMP
296,n ATP
297,starch
298,D-glucopyranose 6-phosphate
299,alpha-D-glucopyranose 1-phosphate
300,maltodextrin(n)
301,maltodextrin(n-1)
302,maltodextrin
303,cyclodextrin
304,NAD(P)H
305,"2,3-bis-O-phytanyl-sn-glycerol 1-phosphate"
306,"2,3-bis-O-(geranylgeranyl)-sn-glycerol 1-phosphate"
307,saturated archaetidylethanolamine
308,saturated archaetidylserine
309,saturated CDP-archaeol
310,CMP
311,unsaturated archaetidylserine
312,unsaturated C20-C20 CDP-archaeol
313,beta-maltose
314,cellotetraose
315,cellulose
316,cellodextrin
317,n+1 beta-D-cellobiose
318,beta-D-cellobiose
319,3-oxo-3-phenylpropanoyl-CoA
320,(S)-3-hydroxy-3-phenylpropanoyl-CoA
321,trans-cinnamoyl-CoA
322,benzoyl-CoA
323,benzoate
324,benzyl alcohol
325,benzylbenzoate
326,alpha-limit dextrin
327,debranched alpha-limit dextrin
328,n D-glucopyranose
329,n alpha-D-glucopyranose 1-phosphate
330,glycogen
331,maltotetraose
332,microthecin
333,ascopyrone M
334,ascopyrone P
335,"1,5-anhydro-D-fructose"
336,"(1,4-alpha-D-glucosyl)(n)"
337,2-O-(4-deoxy-beta-L-threo-hex-4-enopyranuronosyl)-alpha-L-rhamnopyranose
338,alpha-D-galacturonate-[rhamnogalacturonan I oligosaccharide]
339,"4-deoxy-4,5-unsaturated alpha-D-galactopyranosyluronate-[rhamnogalacturonan I oligosaccharide]"
340,L-rhamnopyranose
341,[rhamnogalacturonan I oligosaccharide]-alpha-L-rhamnose
342,rhamnogalacturonan type I
343,2-phospho-D-glycerate
344,3-phospho-D-glycerate
345,3-phospho-D-glyceroyl phosphate
346,xyloglucan
347,beta-D-galactopyranose
348,L-fucopyranose
349,alpha-D-xylopyranose
350,iota-carrageenose
351,n iota-neocarratetraose sulfate
352,n iota-neocarrahexaose sulfate
353,kanamycin B
354,2'-dehydrokanamycin A
355,kanamycin A
356,hydrogen peroxide
357,2'-deamino-2'-hydroxy-6'-dehydroparomamine
358,2'-deamino-2'-hydroxyparomamine
359,6'-dehydroparomamine
360,paromamine
361,3''-deamino-3''-hydroxykanamycin B
362,neamine
363,2'-deamino-2'-hydroxyneamine
364,kanamycin D
365,UDP-alpha-D-kanosamine
366,kanamycin C
367,kanamycin X
368,2'-N-acetylparomamine
369,2-deoxystreptamine
370,UDP-N-acetyl-alpha-D-glucosamine
371,2-deoxy-L-scyllo-inosose
372,2-deoxy-scyllo-inosamine
373,"3-amino-2,3-dideoxy-scyllo-inosose"
374,neocarrabiose
375,neocarrabiose sulfate
376,neocarratetraose 4-O-sulfate
377,n neocarrabiose sulfate
378,n neocarratetraose 4-O-disulfate
379,kappa-carrageenose
380,neo-lambda-carratetraose
381,neo-lambda-carrabiose
382,neo-lambda-carrahexaose
383,lambda-carrageenan
384,n neo-lambda-carratetraose
385,n neo-lambda-carrahexaose
386,methyl-esterified homogalacturonan
387,homogalacturonan
388,n H+
389,n methanol
390,alpha-D-galacturonosyl-(1->4)-alpha-D-galacturonate
391,D-galactopyranuronate
392,"(1,4-alpha-D-galacturonosyl)(n+1)"
393,"(1,4-alpha-D-galacturonosyl)(n)"
394,(1->4)-beta-D-xylan oligosaccharide
395,n beta-D-xylopyranose
396,(1->4)-beta-D-xylan
397,alpha-L-arabinofuranose
398,"alpha(1,5)-L-arabinan"
399,L-arabinan
400,aldehydo-D-galacturonate
401,D-tagaturonate
402,D-fructuronate
403,oxidized factor 420
404,reduced factor 420
405,N5-methyltetrahydromethanopterin
406,"5,10-methylene-tetrahydromethanopterin"
407,"5,10-methenyltetrahydromethanopterin"
408,H2
409,5-formyl-tetrahydromethanopterin
410,methanofuran
411,formylmethanofuran
412,tetrahydromethanopterin
413,[Co(I) corrinoid Fe-S protein]
414,[methyl-Co(III) corrinoid Fe-S protein]
415,carbon monoxide
416,[carboxyl-carrier protein dimer]-N6-carboxybiotinyl-L-lysine
417,[biotin carboxyl-carrier-protein dimer]-N6-biotinyl-L-lysine
418,3-hydroxypropanoyl-CoA
419,3-hydroxypropanoate
420,propanoyl-CoA
421,acryloyl-CoA
422,(S)-malyl-CoA
423,succinyl-CoA
424,(R)-methylmalonyl-CoA
425,(S)-methylmalonyl-CoA
426,3-oxopropanoate
427,"5,10-methylenetetrahydrofolate"
428,"5,10-methenyltetrahydrofolate"
429,4-hydroxybutanoate
430,succinate semialdehyde
431,(S)-3-hydroxybutanoyl-CoA
432,acetoacetyl-CoA
433,4-hydroxybutanoyl-CoA
434,crotonyl-CoA
435,acetyl phosphate
436,oxidized thioredoxin
437,reduced thioredoxin
438,reduced cytochrome c-553
439,oxidized cytochrome c-553
440,D-ribose 5-phosphate
441,D-ribulose 5-phosphate
442,"D-ribulose-1,5-bisphosphate"
443,D-xylulose 5-phosphate
444,"D-sedoheptulose 1,7-bisphosphate"
445,D-sedoheptulose 7-phosphate
446,D-erythrose 4-phosphate
447,D-glyceraldehyde 3-phosphate
448,"beta-D-fructofuranose 1,6-bisphosphate"
449,L-citrulline
450,L-ornithine
451,L-arginine
452,L-arginino-succinate
453,Nomega-hydroxy-L-arginine
454,hydroxyurea
455,O-ureido-L-serine
456,O-acetyl-L-serine
457,D-cycloserine
458,O-ureido-D-serine
459,L-homotyrosine
460,3-hydroxy-L-homotyrosine
461,2-oxo acid
462,amino acid
463,4-(4-hydroxyphenyl)-2-oxobutanoate
464,3-(4-hydroxybenzyl)-malate
465,2-(4-hydroxybenzyl)-malate
466,3-(4-hydroxyphenyl)pyruvate
467,D-serine
468,L-homoserine
469,hydrogen sulfide
470,L-selenomethionine
471,seleno-L-homocysteine
472,L-selenocystathionine
473,O-phospho-L-homoserine
474,L-selenocysteine
475,hydrogen selenide
476,4-methyl-proline
477,3-hydroxy-4-methyl-L-proline
478,3-methyl-pyrroline-5-carboxylate
479,"5,5-dihydroxy-leucine"
480,5-hydroxy-leucine
481,L-alanine
482,D-alanine
483,5-(methylsulfanyl)-2-oxopentanoate
484,2-[2-(methylsulfanyl)ethyl]-3-oxobutanedioate
485,2-[(2'-methylsulfanyl)ethyl]maleate
486,3-[(2'-methylsulfanyl)ethyl]malate
487,2-[(2'-methylsulfanyl)ethyl]malate
488,2-oxo carboxylate
489,proteinogenic amino acid
490,L-homomethionine
491,2-benzyl-3-oxobutanedioate
492,2-oxo-4-phenylbutanoate
493,2-benzyl-3-hydroxybutanedioate
494,L-homophenylalanine
495,3-phenyl-2-oxopropanoate
496,L-phenylalanine
497,2-benzyl-2-hydroxybutanedioate
498,4-hydroxy-4-methyl-2-oxoglutarate
499,L-aspartate 4-semialdehyde
500,L-aspartyl-4-phosphate
501,CDP
502,CTP
503,UTP
504,cytidine
505,uridine
506,L-nicotianamine
507,FMN
508,(Z)-3-ureidoacrylate
509,FMNH2
510,(Z)-3-aminoacrylate
511,[eIF5A-precursor]-deoxyhypusine
512,[eIF5A-precursor]-N-(4-aminobutylidene)-lysine
513,[deoxyhypusine synthase]-N-(4-aminobutylidene)-lysine
514,[eIF5A-precursor]-lysine
515,[deoxyhypusine synthase]-L-lysine
516,(E)-(4-aminobutylidene)(3-aminopropyl)amine
517,"propane-1,3-diamine"
518,spermidine
519,[eIF5A]-hypusine
520,malonate
521,ureidomalonate
522,barbiturate
523,[protein]-L-arginine
524,[protein]-L-citrulline
525,(R)-lactate
526,L-glutamate-5-semialdehyde
527,(S)-1-pyrroline-5-carboxylate
528,L-proline
529,(S)-lactate
530,gamma-L-glutamyl 5-phosphate
531,propanoate
532,menaquinol
533,menaquinone
534,(R)-lactoyl-CoA
535,5-amino-2-oxopentanoate
536,1-pyrroline-2-carboxylate
537,diacetyl
538,(S)-acetoin
539,(S)-2-acetolactate
540,N-acetyl-L-glutamate
541,N-acetyl-L-ornithine
542,N-acetylglutamyl-phosphate
543,N-acetyl-L-glutamate 5-semialdehyde
544,(R)-acetoin
545,[amino-group carrier protein]-C-terminal-gamma-(L-ornithyl)-L-glutamate
546,[amino-group carrier protein]-C-terminal-L-glutamate
547,[amino-group carrier protein]-C-terminal-gamma-(L-glutamate 5-semialdehyde-2-yl)-L-glutamate
548,[amino-group carrier protein]-C-terminal-gamma-(5-phospho-L-glutamyl)-L-glutamate
549,[amino-group carrier protein]-C-terminal-gamma-(L-glutamyl)-L-glutamate
550,acetaldehyde
551,acetoin
552,N-acetyl-L-citrulline
553,tRNAsec
554,L-seryl-[tRNAsec]
555,L-selenocysteinyl-[tRNAsec]
556,selenophosphate
557,selenide
558,"5-(2'-formylethyl)-4,6-dihydroxypicolinate"
559,"5-(2'-carboxyethyl)-4,6-dihydroxypicolinate"
560,"5-(3-carboxy-3-oxopropyl)-4,6-dihydroxypyridine-2-carboxylate"
561,"5-(3-carboxy-3-oxopropenyl)-4,6-dihydroxypyridine-2-carboxylate"
562,"7,8-dihydroxykynurenate"
563,"7,8-dihydro-7,8-dihydroxykynurenate"
564,kynurenate
565,N-Formyl-L-kynurenine
566,L-tryptophan
567,3-hydroxyanthranilate
568,2-amino-3-carboxymuconate-6-semialdehyde
569,3-hydroxy-L-kynurenine
570,L-kynurenine
571,"(2Z,4E)-2-amino-6-oxohexa-2,4-dienoate"
572,picolinate
573,xanthurenate
574,"4-(2-amino-3-hydroxyphenyl)-2,4-dioxobutanoate"
575,anthranilate
576,"4-(2-aminophenyl)-2,4-dioxobutanoate"
577,ethanol
578,O-phospho-L-seryl-[tRNASec]
579,L-cysteine
580,"ditrans,octacis-undecaprenyl diphosphate"
581,{beta-D-GlcNAc-(1->4)-3-O-[L-Ala-gamma-D-iGln-(6-N-beta-D-Asn)-L-Lys-D-Ala)]-Mur2Ac}(n)-PP-Und
582,{beta-D-GlcNAc-(1->4)-3-O-[L-Ala-gamma-D-iGln-(6-N-beta-D-Asn)-L-Lys-D-Ala]-Mur2Ac}-PP-Und
583,{beta-D-GlcNAc-(1->4)-3-O-[L-Ala-gamma-D-iGln-(6-N-beta-D-Asn)-L-Lys-D-Ala)]-Mur2Ac}(n+1)-PP-Und
584,"peptidoglycan tetramer with an L,D cross-link "
585,peptidoglycan internal segment 
586,nascent peptidoglycan dimer 
587,Und-PP-beta-D-GlcNAc-(1->4)-Mur2Ac-L-Ala-gamma-D-iGln-(6-N-beta-D-Asp)-L-Lys-D-Ala
588,Und-PP-beta-D-GlcNAc-(1->4)-Mur2Ac-L-Ala-gamma-D-iGln-L-Lys-D-Ala
589,D-aspartate
590,Und-PP-beta-D-GlcNAc-(1->4)-Mur2Ac-L-Ala-gamma-D-Glu-L-Lys-D-Ala
591,Und-PP-Mur2Ac-L-Ala-gamma-D-Glu-L-Lys-D-Ala
592,UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanine
593,"ditrans,octacis-undecaprenyl phosphate"
594,UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-L-lysyl-D-alanyl-D-alanine
595,reduced glutaredoxin
596,oxidized glutaredoxin
597,thiosulfate
598,S-sulfo-L-cysteine
599,sulfite
600,UDP-alpha-D-glucuronate
601,glucuronoxylan
602,arabinoxylan
603,UDP-beta-L-arabinopyranose
604,[(1->4)-beta-D-xylan](n)
605,[(1->4)-beta-D-xylan](n+1)
606,[CysO sulfur-carrier protein]
607,[CysO sulfur-carrier protein]-Gly-NH-CH2-C(O)-S-L-cysteine
608,[CysO sulfur-carrier protein]-Gly-Gly-adenylate
609,[CysO sulfur-carrier protein]-thiocarboxylate
610,unsulfurated [sulfur carrier]
611,sulfurated [sulfur carrier]
612,O-phospho-L-serine
613,coniferyl alcohol
614,coniferaldehyde
615,trans-5-O-(4-coumaroyl)-D-quinate
616,oxidized [NADPH-hemoprotein reductase]
617,trans-5-O-caffeoyl-D-quinate
618,reduced [NADPH-hemoprotein reductase]
619,L-quinate
620,(E)-caffeoyl-CoA
621,5-O-caffeoylshikimate
622,shikimate
623,trans-5-O-(4-coumaroyl)shikimate
624,(E)-4-coumaroyl-CoA
625,sinapaldehyde
626,5-hydroxy-coniferaldehyde
627,feruloyl-CoA
628,sinapyl alcohol
629,4-coumaraldehyde
630,4-coumaryl alcohol
631,4-coumarate
632,3-phosphooxypyruvate
633,glycyl-[tRNAGly]
634,Und-PP-beta-D-GlcNAc-(1->4)-Mur2Ac-L-Ala-gamma-D-iGln-[N6-(Gly3)]-L-Lys-D-Ala-D-Ala
635,{beta-D-GlcNAc-(1->4)-3-O-[L-Ala-gamma-D-iGln-(6-N-Gly5)-L-Lys-D-Ala-D-Ala]-Mur2Ac}-PP-Und
636,tRNAGly
637,Und-PP-beta-D-GlcNAc-(1->4)-Mur2Ac-L-Ala-gamma-D-iGln-(N6-Gly)-L-Lys-D-Ala-D-Ala
638,Und-PP-beta-D-GlcNAc-(1->4)-MurNAc-L-Ala-gamma-D-iGln-L-Lys-D-Ala-D-Ala
639,2-oxobutanoate
640,L-cystathionine
641,thiamine phosphate
642,thiamine diphosphate
643,4-methyl-5-(2-phosphooxyethyl)thiazole
644,4-amino-2-methyl-5-(diphosphooxymethyl)pyrimidine
645,5-(2-hydroxyethyl)-4-methylthiazole
646,UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-N6-(L-alanyl)-L-lysyl-D-alanyl-D-alanine
647,UDP-N-acetylmuramoyl-L-alanyl-D-glutamyl-N6-(L-seryl-L-alanyl)-L-lysyl-D-alanyl-D-alanine
648,tRNAser
649,L-seryl-[tRNAser]
650,tRNAAla
651,L-alanyl-[tRNAAla]
652,L-cysteinyl-[tRNACys]
653,tRNACys
654,O-phospho-L-seryl-[tRNACys]
655,Und-PP-beta-D-GlcNAc-(1->4)-Mur2Ac-L-Ala-gamma-D-iGln-(N6-L-Ala)-L-Lys-D-Ala-D-Ala
656,Und-PP-beta-D-GlcNAc-(1->4)-Mur2Ac-L-Ala-gamma-D-iGln-(N6-L-Ala-L-Ala)-L-Lys-D-Ala-D-Ala
657,{beta-D-GlcNAc-(1->4)-3-O-[L-Ala-gamma-D-iGln-(6-N-beta-D-Asn)-L-Lys-D-Ala-D-Ala]-Mur2Ac}-PP-Und
658,Und-PP-beta-D-GlcNAc-(1->4)-Mur2Ac-L-Ala-gamma-D-iGln-(6-N-beta-D-Asp)-L-Lys-D-Ala-D-Ala
659,"5,6,7,8-tetrahydropteridine"
660,L-tyrosine
661,4a-hydroxytetrahydropteridine
662,"nascent peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-glycine) tetrapeptide"
663,"mature peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-glycine) tetrapeptide"
664,"mature peptidoglycan (with L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine tetrapeptide)"
665,"nascent peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide"
666,"mature peptidoglycan with L,D cross-links (meso-diaminopimelate containing)"
667,"nascent peptidoglycan with L,D cross links (meso-diaminopimelate containing)"
668,"nascent peptidoglycan with D,D cross-links (meso-diaminopimelate containing)"
669,"mature peptidoglycan with D,D cross-links (meso-diaminopimelate containing)"
670,"mature peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate) tripeptide"
671,"nascent peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate) tripeptide"
672,"mature peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide"
673,"nascent peptidoglycan with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide"
674,"peptidoglycan internal segment with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanine) tetrapeptide"
675,"nascent [peptidoglycan]n with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide"
676,beta-D-GlcNAc-(1->4)-Mur2Ac(oyl-L-Ala-gamma-D-Glu-DAP-D-Ala-D-Ala)-PP-Und
677,"nascent [peptidoglycan]n+1 with (L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimeloyl-D-alanyl-D-alanine) pentapeptide"
678,prephenate
679,L-arogenate
680,chorismate
681,D-alanyl-D-alanine
682,"UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-gamma-D-glutamyl-meso-2,6-diaminopimelate"
683,meso-diaminopimelate
684,UDP-N-acetyl-alpha-D-muramoyl-L-alanyl-D-glutamate
685,D-glutamate
