Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
geranyl diphosphate biosynthesis	0.8	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.PWY-5122.	PWY-5122
nitrate reduction IV (dissimilatory)	0.8	0.5	0.75	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY-5674./Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY-5674.	PWY-5674
queuosine biosynthesis	1.0	0.75	0.75	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Macromolecule-Modification.Nucleic-Acid-Processing.PWY-6700.	PWY-6700
tetrahydrofolate biosynthesis	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Folate-Biosynthesis.PWY-6614.	PWY-6614
D-mannose degradation	1.0	1.0	2.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.MANNCAT-PWY.	MANNCAT-PWY
L-tyrosine biosynthesis I	1.0	1.0	1.67	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.TYROSINE-SYN.TYRSYN.	TYRSYN
inosine 5'-phosphate degradation	1.0	0.75	1.25	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Degradation.NUCLEO-DEG.Purine-Degradation.PWY-5695.	PWY-5695
octaprenyl diphosphate biosynthesis	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.PWY-5783.	PWY-5783
trans, trans-farnesyl diphosphate biosynthesis	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.All-Trans-Farnesyl-PP-Biosynthesis.PWY-5123.	PWY-5123
6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	1.0	0.6	0.8	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Folate-Biosynthesis.6-HM-Dihydropterin-PP-Biosynthesis.PWY-6147.	PWY-6147
N-acetylglucosamine degradation I	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.N-Acetylglucosamine-Degradation.GLUAMCAT-PWY./Degradation.AMINE-DEG.N-Acetylglucosamine-Degradation.GLUAMCAT-PWY.	GLUAMCAT-PWY
palmitate biosynthesis II (bacteria and plants)	1.0	0.24	0.31	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Palmitate-Biosynthesis.PWY-5971.	PWY-5971
L-asparagine biosynthesis II	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.ASPARAGINE-SYN.ASPARAGINESYN-PWY.	ASPARAGINESYN-PWY
guanine and guanosine salvage II	1.0	0.5	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotides-Salvage.Guanine-Guanosine-Salvage.PWY-6599.	PWY-6599
phosphopantothenate biosynthesis I	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Pantothenate-Biosynthesis.PANTO-PWY.	PANTO-PWY
lipid IVA biosynthesis	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Lipid-Biosynthesis.NAGLIPASYN-PWY./Biosynthesis.Cell-Structure-Biosynthesis.Lipopolysaccharide-Biosynthesis.NAGLIPASYN-PWY.	NAGLIPASYN-PWY
heme b biosynthesis II (anaerobic)	1.0	1.0	1.5	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Cofactor-Biosynthesis.Porphyrin-Compounds-Biosynthesis.HEME-SYN.Heme-b-Biosynthesis.HEMESYN2-PWY.	HEMESYN2-PWY
PRPP biosynthesis	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.Sugar-Phosphate-Biosynthesis.PWY0-662.	PWY0-662
pentose phosphate pathway (oxidative branch) I	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Energy-Metabolism.Pentose-Phosphate-Cycle.OXIDATIVEPENT-PWY.	OXIDATIVEPENT-PWY
autoinducer AI-2 biosynthesis II (Vibrio)	1.0	0.33	0.33	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.SECONDARY-METABOLITE-BIOSYNTHESIS.Autoinducer-Biosynthesis.PWY-6154.	PWY-6154
oleate &beta;-oxidation	1.0	0.67	0.67	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Degradation.Fatty-Acid-and-Lipid-Degradation.Fatty-Acid-Degradation.PWY0-1337.	PWY0-1337
tetrahydrofolate salvage from 5,10-methenyltetrahydrofolate	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Folate-Biosynthesis.PWY-6613.	PWY-6613
purine ribonucleosides degradation	1.0	0.83	1.17	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Degradation.NUCLEO-DEG.Purine-Degradation.PWY0-1296.	PWY0-1296
L-glutamate biosynthesis III	1.0	1.0	2.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.GLUTAMATE-SYN.GLUTSYNIII-PWY.	GLUTSYNIII-PWY
chorismate biosynthesis from 3-dehydroquinate	1.0	0.83	0.83	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.AROMATIC-COMPOUNDS-BIOSYN.Chorismate-Biosynthesis.PWY-6163.	PWY-6163
phosphatidylserine and phosphatidylethanolamine biosynthesis I	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.Phosphatidylserine-Biosynthesis.PWY-5669./Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.PhosphatidylethanolamineBiosynthesis.PWY-5669.	PWY-5669
flavin biosynthesis I (bacteria and plants)	1.0	0.89	1.11	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Flavin-Biosynthesis.RIBOSYN2-PWY.	RIBOSYN2-PWY
chitin derivatives degradation	1.0	0.57	0.86	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Degradation.Polymer-Degradation.POLYSACCHARIDES-DEG.Chitin-Degradation.PWY-6906./Degradation.Carbohydrates-Degradation.POLYSACCHARIDES-DEG.Chitin-Degradation.PWY-6906.	PWY-6906
methylerythritol phosphate pathway I	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.SECONDARY-METABOLITE-BIOSYNTHESIS.Terpenoid-Biosynthesis.ISOPRENOIDS.Isopentenyl-Diphosphate-Biosynthesis.MEP-NONMEVIPP-PWY.	MEP-NONMEVIPP-PWY
(5Z)-dodecenoate biosynthesis I	1.0	0.83	1.5	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Unsaturated-Fatty-Acids-Biosynthesis.5Z-Dodec-5-enoate-Biosynthesis.PWY0-862.	PWY0-862
L-asparagine biosynthesis I	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.ASPARAGINE-SYN.ASPARAGINE-BIOSYNTHESIS.	ASPARAGINE-BIOSYNTHESIS
guanylyl molybdenum cofactor biosynthesis	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Cofactor-Biosynthesis.PWY-5964.	PWY-5964
biotin-carboxyl carrier protein assembly	1.0	0.75	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Lipid-Biosynthesis.PWY0-1264.	PWY0-1264
sulfate activation for sulfonation	1.0	1.0	1.5	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.PWY-5340./Activation-Inactivation-Interconversion.Activation.PWY-5340.	PWY-5340
3-dehydroquinate biosynthesis I	1.0	1.0	2.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.AROMATIC-COMPOUNDS-BIOSYN.3-Dehydroquinate-Biosynthesis.PWY-6164.	PWY-6164
glutathione biosynthesis	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Cofactor-Biosynthesis.Reductants.GLUTATHIONESYN-PWY.	GLUTATHIONESYN-PWY
L-citrulline degradation	1.0	0.67	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Degradation.Amino-Acid-Degradation.MISCELLANEOUS-DEG.CITRULLINE-DEG-PWY.	CITRULLINE-DEG-PWY
long-chain fatty acid activation	1.0	1.0	3.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Activation-Inactivation-Interconversion.Activation.PWY-5143./Biosynthesis.Lipid-Biosynthesis.PWY-5143.	PWY-5143
L-arginine degradation II (AST pathway)	1.0	0.8	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.ARGININE-DEG.AST-PWY.	AST-PWY
L-alanine degradation IV	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.ALANINE-DEG.PWY1-2.	PWY1-2
partial TCA cycle (obligate autotrophs)	1.0	1.0	1.55	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Energy-Metabolism.TCA-VARIANTS.PWY-5913.	PWY-5913
mixed acid fermentation	1.0	0.88	1.31	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Energy-Metabolism.Fermentation.Pyruvate-Degradation.Pyruvate-Ethanol-Fermentation.FERMENTATION-PWY./Energy-Metabolism.Fermentation.Alcohol-Biosynthesis.Pyruvate-Ethanol-Fermentation.FERMENTATION-PWY./Energy-Metabolism.Fermentation.Fermentation-to-Acids.FERMENTATION-PWY.	FERMENTATION-PWY
guanine and guanosine salvage	1.0	0.5	1.5	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotides-Salvage.Guanine-Guanosine-Salvage.PWY-6620.	PWY-6620
pentose phosphate pathway (non-oxidative branch)	1.0	1.0	1.4	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Energy-Metabolism.Pentose-Phosphate-Cycle.NONOXIPENT-PWY.	NONOXIPENT-PWY
thiosulfate disproportionation IV (rhodanese)	1.0	1.0	2.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.Thiosulfate-Disproportionation.PWY-5350.	PWY-5350
ubiquinol-8 biosynthesis (prokaryotic)	1.0	1.0	1.13	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Cofactor-Biosynthesis.Quinone-Biosynthesis.Ubiquinone-Biosynthesis.PWY-6708.	PWY-6708
CMP-3-deoxy-D-manno-octulosonate biosynthesis	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.CMP-Sugar-Biosynthesis.CMP-KDO-Biosynthesis.PWY-1269./Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.CMP-Sugar-Biosynthesis.PWY-1269.	PWY-1269
folate polyglutamylation	1.0	0.8	0.8	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Folate-Biosynthesis.PWY-2161.	PWY-2161
formate assimilation into 5,10-methylenetetrahydrofolate	1.0	0.75	0.75	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Degradation.C1-COMPOUNDS.PWY-1722.	PWY-1722
guanosine nucleotides degradation III	1.0	0.5	0.5	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Degradation.NUCLEO-DEG.Purine-Degradation.Guanosine-Nucleotides-Degradation.PWY-6608.	PWY-6608
2-oxoglutarate decarboxylation to succinyl-CoA	1.0	1.0	2.67	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Energy-Metabolism.Respiration.PWY-5084.	PWY-5084
anhydromuropeptides recycling I	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.Anhydromuropeptides-Recycling.PWY0-1261.	PWY0-1261
tRNA processing	1.0	0.9	1.2	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Macromolecule-Modification.Nucleic-Acid-Processing.PWY0-1479.	PWY0-1479
glycine cleavage	1.0	1.0	4.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.GLYCINE-DEG.GLYCLEAV-PWY.	GLYCLEAV-PWY
palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	1.0	0.67	1.22	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Unsaturated-Fatty-Acids-Biosynthesis.Palmitoleate-Biosynthesis.PWY-6282.	PWY-6282
glycine biosynthesis I	1.0	1.0	1.0	Aliivibrio	Aliivibrio fischeri ES114, Aliivibrio salmonicida LFI1238, Aliivibrio salmonicida VS224, Aliivibrio wodanis, Vibrio fischeri MJ11	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.GLYCINE-SYN.GLYSYN-PWY.	GLYSYN-PWY
