Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
4-amino-2-methyl-5-diphosphomethylpyrimidine biosynthesis	1.0	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.HMP-PP-Biosynthesis.PWY-6890.	PWY-6890
methylglyoxal degradation I	1.0	0.33	0.33	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.Aldehyde-Degradation.Methylglyoxal-Detoxification.PWY-5386./Detoxification.Methylglyoxal-Detoxification.PWY-5386.	PWY-5386
urea cycle	1.0	0.8	1.2	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.PWY-4984.	PWY-4984
NAD de novo biosynthesis I (from aspartate)	1.0	0.83	0.83	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Cofactor-Biosynthesis.NAD-Metabolism.NAD-SYN.PYRIDNUCSYN-PWY.	PYRIDNUCSYN-PWY
thiazole biosynthesis I (facultative anaerobic bacteria)	1.0	0.71	1.14	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiazole-Biosynthesis.PWY-6892.	PWY-6892
queuosine biosynthesis	1.0	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Macromolecule-Modification.Nucleic-Acid-Processing.PWY-6700.	PWY-6700
gluconeogenesis I	1.0	0.62	1.46	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.Gluconeogenesis.GLUCONEO-PWY.	GLUCONEO-PWY
tetrahydrofolate biosynthesis	1.0	1.0	1.33	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Folate-Biosynthesis.PWY-6614.	PWY-6614
gondoate biosynthesis (anaerobic)	1.0	0.75	0.75	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Unsaturated-Fatty-Acids-Biosynthesis.PWY-7663.	PWY-7663
L-serine degradation	1.0	0.33	0.67	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.SERINE-DEG.SERDEG-PWY.	SERDEG-PWY
autoinducer AI-2 biosynthesis I	1.0	0.4	0.4	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.SECONDARY-METABOLITE-BIOSYNTHESIS.Autoinducer-Biosynthesis.PWY-6153.	PWY-6153
L-threonine degradation I	1.0	0.33	0.33	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.THREONINE-DEG.PWY-5437.	PWY-5437
D-mannose degradation	1.0	1.0	2.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.MANNCAT-PWY.	MANNCAT-PWY
inosine 5'-phosphate degradation	1.0	0.5	0.5	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.NUCLEO-DEG.Purine-Degradation.PWY-5695.	PWY-5695
poly(glycerol phosphate) wall teichoic acid biosynthesis	1.0	0.25	0.33	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Cell-Structure-Biosynthesis.Cell-Wall-Biosynthesis.Teichoic-Acids-Biosynthesis.TEICHOICACID-PWY.	TEICHOICACID-PWY
lipoprotein posttranslational modification	1.0	0.5	0.5	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Macromolecule-Modification.Protein-Modification.PWY-7884.	PWY-7884
L-glutamine degradation I	1.0	1.0	12.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.GLUTAMINE-DEG.GLUTAMINDEG-PWY.	GLUTAMINDEG-PWY
L-glutamine biosynthesis I	1.0	1.0	2.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Ammonia-Assimilation.GLNSYN-PWY./Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.GLUTAMINE-SYN.GLNSYN-PWY.	GLNSYN-PWY
N-acetylglucosamine degradation I	1.0	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.N-Acetylglucosamine-Degradation.GLUAMCAT-PWY./Degradation.AMINE-DEG.N-Acetylglucosamine-Degradation.GLUAMCAT-PWY.	GLUAMCAT-PWY
palmitate biosynthesis II (bacteria and plants)	1.0	0.65	0.65	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.Palmitate-Biosynthesis.PWY-5971.	PWY-5971
UDP-N-acetylmuramoyl-pentapeptide biosynthesis I (meso-diaminopimelate containing)	1.0	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Cell-Structure-Biosynthesis.Cell-Wall-Biosynthesis.Acetylmuramoyl-Pentapeptide-Biosynthesis.PWY-6387.	PWY-6387
thioredoxin pathway	1.0	0.5	0.5	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Cofactor-Biosynthesis.Reductants.THIOREDOX-PWY.	THIOREDOX-PWY
N10-formyl-tetrahydrofolate biosynthesis	1.0	0.89	0.89	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Folate-Biosynthesis.1CMET2-PWY.	1CMET2-PWY
dTDP-L-rhamnose biosynthesis	1.0	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.dTDP-Sugar-Biosynthesis.DTDPRHAMSYN-PWY.	DTDPRHAMSYN-PWY
guanine and guanosine salvage II	1.0	0.5	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.Purine-Nucleotides-Salvage.Guanine-Guanosine-Salvage.PWY-6599.	PWY-6599
tRNA charging	1.0	1.0	1.14	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Metabolic-Clusters.TRNA-CHARGING-PWY./Biosynthesis.Aminoacyl-tRNAs-Charging.TRNA-CHARGING-PWY.	TRNA-CHARGING-PWY
acyl carrier protein activation	1.0	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Activation-Inactivation-Interconversion.Activation.PWY-6012-1./Biosynthesis.Cofactor-Biosynthesis.PWY-6012-1.	PWY-6012-1
UDP-N-acetyl-D-glucosamine biosynthesis I	1.0	0.6	0.8	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.UDP-Sugar-Biosynthesis.UDP-NAc-Glucosamine-Biosynthesis.UDPNAGSYN-PWY.	UDPNAGSYN-PWY
L-lysine biosynthesis III	1.0	0.86	0.86	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.LYSINE-SYN.PWY-2942.	PWY-2942
L-alanine biosynthesis I	1.0	0.67	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.ALANINE-SYN.ALANINE-VALINESYN-PWY.	ALANINE-VALINESYN-PWY
5-aminoimidazole ribonucleotide biosynthesis I	1.0	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Nucleotide-Biosynthesis.PUR-NUC-SYN.AIR-Biosynthesis.PWY-6121.	PWY-6121
phosphopantothenate biosynthesis I	1.0	0.75	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Pantothenate-Biosynthesis.PANTO-PWY.	PANTO-PWY
UDP-&alpha;-D-galactose biosynthesis	1.0	1.0	2.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Carbohydrates-Biosynthesis.CARBO-BIOSYNTHESIS.SUGAR-NUCLEOTIDES.UDP-Sugar-Biosynthesis.PWY-7344.	PWY-7344
UTP and CTP de novo biosynthesis	1.0	0.67	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.Pyrimidine-De-Novo-Biosyn.Pyrimid-Ribonucleot-De-Novo-Biosyn.PWY-7176.	PWY-7176
L-valine biosynthesis	1.0	1.0	2.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.VALINE-BIOSYNTHESIS.VALSYN-PWY.	VALSYN-PWY
purine deoxyribonucleosides degradation I	1.0	0.75	0.75	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.NUCLEO-DEG.Purine-Degradation.PWY-7179.	PWY-7179
purine ribonucleosides degradation	1.0	0.83	0.83	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.NUCLEO-DEG.Purine-Degradation.PWY0-1296.	PWY0-1296
acetate and ATP formation from acetyl-CoA I	1.0	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.CARBOXYLATES-DEG.Acetate-Formation.PWY0-1312./Energy-Metabolism.Fermentation.Fermentation-to-Acids.Acetate-Formation.PWY0-1312.	PWY0-1312
uracil degradation I (reductive)	1.0	0.33	0.33	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.NUCLEO-DEG.Pyrimidine-Degradation.Pyrimidine-Base-Degradation.Uracil-Degradation.PWY-3982./Biosynthesis.Amino-Acid-Biosynthesis.Other-Amino-Acid-Biosynthesis.Beta-Alanine-Biosynthesis.PWY-3982.	PWY-3982
fructose degradation	1.0	1.0	2.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.PWY0-1314.	PWY0-1314
L-glutamate biosynthesis III	1.0	1.0	2.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.GLUTAMATE-SYN.GLUTSYNIII-PWY.	GLUTSYNIII-PWY
thiamine diphosphate biosynthesis I (E. coli)	1.0	0.5	1.5	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Thiamine-Biosynthesis.Thiamin-Diphosphate-Biosynthesis.PWY-6894.	PWY-6894
glycolysis III (from glucose)	1.0	0.82	2.09	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Energy-Metabolism.GLYCOLYSIS-VARIANTS.ANAGLYCOLYSIS-PWY.	ANAGLYCOLYSIS-PWY
phosphatidylserine and phosphatidylethanolamine biosynthesis I	1.0	0.5	0.5	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.Phosphatidylserine-Biosynthesis.PWY-5669./Biosynthesis.Lipid-Biosynthesis.Phospholipid-Biosynthesis.PhosphatidylethanolamineBiosynthesis.PWY-5669.	PWY-5669
flavin biosynthesis I (bacteria and plants)	1.0	0.89	0.89	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Flavin-Biosynthesis.RIBOSYN2-PWY.	RIBOSYN2-PWY
2-deoxy-&alpha;-D-ribose 1-phosphate degradation	1.0	0.67	1.67	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.PWY-7180.	PWY-7180
pyrimidine deoxyribonucleotides de novo biosynthesis I	1.0	0.33	0.33	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Metabolic-Clusters.PWY-7184./Biosynthesis.Nucleotide-Biosynthesis.PYR-NUC-SYN.Pyrimidine-De-Novo-Biosyn.Pyrimid-Deoxyribonucleot-De-Novo-Biosyn.PWY-7184./Biosynthesis.Nucleotide-Biosynthesis.Deoxyribonucleotide-Biosynthesis.Pyrimid-Deoxyribonucleot-De-Novo-Biosyn.PWY-7184.	PWY-7184
N-acetylneuraminate and N-acetylmannosamine degradation I	1.0	0.33	0.33	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.NAN-MANNACs-degradation.PWY0-1324.	PWY0-1324
L-lactaldehyde degradation (anaerobic)	1.0	1.0	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Degradation.Aldehyde-Degradation.Lactaldehyde-Degradation.PWY0-1315.	PWY0-1315
molybdenum cofactor biosynthesis	1.0	0.5	0.63	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Biosynthesis.Cofactor-Biosynthesis.Molybdenum-Cofactor-Biosynthesis.PWY-6823.	PWY-6823
glycogen degradation II	1.0	0.67	1.0	Anaerostipes	Anaerostipes hadrus, Anaerostipes rhamnosivorans 1y2, Anaerostipes hadrus BPB5	Glycan-Glycan-Degradation.PWY-5941./Degradation.Polymer-Degradation.POLYSACCHARIDES-DEG.Glycan-Degradation.PWY-5941./Degradation.Polymer-Degradation.POLYSACCHARIDES-DEG.Glycogen-Degradation.PWY-5941./Degradation.Carbohydrates-Degradation.POLYSACCHARIDES-DEG.Glycan-Degradation.PWY-5941./Degradation.Carbohydrates-Degradation.POLYSACCHARIDES-DEG.Glycogen-Degradation.PWY-5941.	PWY-5941
