Metabolic Pathway	Present in X org./Total org.	Median score	Median frequency	Target taxonomies	Strain with the Pathway	Pathway Hierarchy	MetaCyc URL
pseudouridine degradation	0.2	0.5	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.NUCLEO-DEG.Purine-Degradation.PWY-6019.	PWY-6019
guanosine nucleotides degradation III	0.2	0.25	0.25	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.NUCLEO-DEG.Purine-Degradation.Guanosine-Nucleotides-Degradation.PWY-6608.	PWY-6608
phospholipases	0.2	0.2	0.2	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Fatty-Acid-and-Lipid-Degradation.LIPASYN-PWY./Metabolic-Clusters.LIPASYN-PWY.	LIPASYN-PWY
anhydromuropeptides recycling I	0.2	0.5	0.5	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.SECONDARY-METABOLITE-DEGRADATION.Sugar-Derivatives.Anhydromuropeptides-Recycling.PWY0-1261.	PWY0-1261
phenylethanol biosynthesis	0.2	0.25	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.SECONDARY-METABOLITE-BIOSYNTHESIS.PHENYLPROPANOID-SYN.PWY-5751./Biosynthesis.AROMATIC-COMPOUNDS-BIOSYN.PWY-5751.	PWY-5751
glycolate and glyoxylate degradation II	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.CARBOXYLATES-DEG.Glycolate-Degradation.GLYOXDEG-PWY.	GLYOXDEG-PWY
methylglyoxal degradation II	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Aldehyde-Degradation.Methylglyoxal-Detoxification.PWY-5462./Detoxification.Methylglyoxal-Detoxification.PWY-5462./Detoxification.Methylglyoxal-Detoxification.PWY-901./Degradation.Aldehyde-Degradation.PWY-901.	PWY-901
nitrate reduction VIII (dissimilatory)	0.2	1.0	7.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Noncarbon-Nutrients.NITROGEN-DEG.Nitrate-Reduction.PWY0-1352./Energy-Metabolism.Respiration.ANAEROBIC-RESPIRATION.PWY0-1352./Energy-Metabolism.Electron-Transfer.PWY0-1352.	PWY0-1352
L-methionine biosynthesis I	0.2	0.6	0.6	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.METHIONINE-SYN.Methionine-De-novo-Biosynthesis.HOMOSER-METSYN-PWY.	HOMOSER-METSYN-PWY
L-glutamate biosynthesis V	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Amino-Acid-Biosynthesis.IND-AMINO-ACID-SYN.GLUTAMATE-SYN.PWY-4341.	PWY-4341
seed germination protein turnover	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Protein-Degradation.PWY-6018.	PWY-6018
glycine betaine biosynthesis II (Gram-positive bacteria)	0.2	1.0	2.5	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Polyamine-Biosynthesis.Betaine-Biosynthesis.PWY-3722.	PWY-3722
L-valine degradation II	0.2	0.67	1.67	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.VALINE-DEG.PWY-5057.	PWY-5057
octaprenyl diphosphate biosynthesis	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Cofactor-Biosynthesis.Polyprenyl-Biosynthesis.PWY-5783.	PWY-5783
protein citrullination	0.2	1.0	2.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Amino-Acid-Biosynthesis.Amino-Acids-Modification.PWY-4921./Biosynthesis.Amino-Acid-Biosynthesis.Other-Amino-Acid-Biosynthesis.Citrulline-Biosynthesis.PWY-4921.	PWY-4921
fatty acid biosynthesis initiation III	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Lipid-Biosynthesis.Fatty-acid-biosynthesis.PWY-5965.	PWY-5965
pentose phosphate pathway (oxidative branch) I	0.2	0.33	0.33	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Energy-Metabolism.Pentose-Phosphate-Cycle.OXIDATIVEPENT-PWY.	OXIDATIVEPENT-PWY
ammonium transport	0.2	1.0	2.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Transport-PWY-5986/Degradation.Noncarbon-Nutrients.NITROGEN-DEG	Noncarbon-Nutrients
D-galactose degradation I (Leloir pathway)	0.2	0.17	0.17	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Carbohydrates-Degradation.Sugars-And-Polysaccharides-Degradation.GALACTOSE-DEGRADATION.PWY-6317.	PWY-6317
superpathway of purine deoxyribonucleosides degradation	0.2	0.14	0.14	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.NUCLEO-DEG.PWY0-1297./Super-PWY0-1297.	/Super-PWY0-1297
two-component alkanesulfonate monooxygenase	0.2	0.5	0.5	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Noncarbon-Nutrients.Sulfur-Metabolism.ALKANEMONOX-PWY.	ALKANEMONOX-PWY
siroheme biosynthesis	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Cofactor-Biosynthesis.Porphyrin-Compounds-Biosynthesis.PWY-5194.	PWY-5194
NAD salvage pathway IV (from nicotinamide riboside)	0.2	0.5	0.5	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Cofactor-Biosynthesis.NAD-Metabolism.NAD-SYN.PWY3O-4106.	PWY3O-4106
TCA cycle IV (2-oxoglutarate decarboxylase)	0.2	0.82	1.55	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Energy-Metabolism.TCA-VARIANTS.P105-PWY.	P105-PWY
wound-induced proteolysis I	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Protein-Degradation.PWY-5988.	PWY-5988
ectoine biosynthesis	0.2	0.6	0.6	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Polyamine-Biosynthesis.P101-PWY.	P101-PWY
L-glutamate degradation X	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.GLUTAMATE-DEG.PWY-5766.	PWY-5766
4-aminobutanoate degradation II	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.AMINE-DEG.4-Aminobutyraye-Degradation.PWY-6537.	PWY-6537
putrescine degradation II	0.2	0.25	0.25	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.AMINE-DEG.Putrescine-Degradation.PWY0-1221.	PWY0-1221
superpathway of acrylonitrile degradation	0.2	0.33	0.67	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Other-Degradation.Acrylonitrile-Degradation.P344-PWY./Super-P344-PWY.	/Super-P344-PWY
pyridoxal 5'-phosphate salvage I	0.2	0.4	0.4	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Biosynthesis.Cofactor-Biosynthesis.Vitamin-Biosynthesis.Vitamin-B6-Biosynthesis.PLPSAL-PWY.	PLPSAL-PWY
alkylnitronates degradation	0.2	1.0	1.0	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Other-Degradation.PWY-723.	PWY-723
gallate degradation II	0.2	0.2	0.4	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.GALLATE-DEG.GALLATE-DEGRADATION-I-PWY.	GALLATE-DEGRADATION-I-PWY
L-threonine degradation II	0.2	0.5	0.5	Acinetobacter johnsonii	Acinetobacter johnsonii SH046	Degradation.Amino-Acid-Degradation.Proteinogenic-Amino-Acids-Degradation.THREONINE-DEG.THREONINE-DEG2-PWY.	THREONINE-DEG2-PWY
NADH repair	0.2	0.25	0.25	Acinetobacter johnsonii	Acinetobacter johnsonii XBB1	Energy-Metabolism.PWY-6938.	PWY-6938
toluene degradation to 2-hydroxypentadienoate (via 4-methylcatechol)	0.2	0.25	0.25	Acinetobacter johnsonii	Acinetobacter johnsonii XBB1	Degradation.AROMATIC-COMPOUNDS-DEGRADATION.TOLUENE-DEG.TOLUENE-DEG-3-OH-PWY.	TOLUENE-DEG-3-OH-PWY
